@relation processed_comments

@attribute Worth {Worthy,NotWorthy}
@attribute character_count numeric
@attribute word_count numeric
@attribute emoticon_count numeric
@attribute punctuation_count numeric
@attribute response_count numeric
@attribute post_comment_similarity numeric
@attribute sentence_count numeric
@attribute avg_sentence_len numeric
@attribute avg_syllables_per_word numeric
@attribute flesch_kinkaid_ease numeric
@attribute gunning_fog_index numeric

@data
NotWorthy,60,12,0,3,5,0.058189,2,6,1.166667,102.045,2.4
NotWorthy,41,7,1,2,0,0,1,6,1.666667,59.745,9.066667
Worthy,1140,190,1,33,8,0.131613,10,18.9,1.592593,52.918167,12.851005
Worthy,133,27,0,3,0,0.027431,3,9,1.259259,91.166667,3.6
Worthy,151,27,0,5,1,0.061337,2,13.5,1.407407,74.065833,9.844444
NotWorthy,422,70,1,11,0,0.078108,6,11.833333,1.549296,63.753744,9.803756
NotWorthy,83,15,0,1,0,0.017958,1,15,1.4,73.17,8.666667
Worthy,526,97,1,11,1,0.108681,5,19.6,1.418367,66.947122,12.329796
NotWorthy,548,86,0,23,0,0.166326,7,12.857143,1.588889,59.365,10.47619
Worthy,257,45,0,12,1,0.059441,5,9.4,1.425532,76.694,9.717447
NotWorthy,173,29,1,4,0,0.027431,3,10,1.633333,58.505,9.333333
NotWorthy,399,71,2,21,1,0.05543,8,9,1.361111,82.55,4.155556
NotWorthy,111,22,0,2,0,0.015024,2,11,1.409091,76.460909,8.036364
NotWorthy,334,58,0,18,0,0.028507,6,10,1.316667,85.295,6
Worthy,241,47,0,4,0,0.080663,2,23.5,1.425532,62.3825,13.655319
NotWorthy,462,90,0,12,0,0.153393,6,15,1.355556,76.93,8.666667
NotWorthy,43,10,0,1,0,0.068599,1,10,1.4,78.245,4
Worthy,256,34,1,22,0,0.037203,8,4.75,1.684211,59.529539,7.163158
NotWorthy,146,29,0,6,0,0.055805,2,14.5,1.344828,78.345086,7.17931
NotWorthy,187,35,0,6,2,0.055805,3,11.666667,1.457143,71.719048,10.380952
Worthy,237,44,0,11,0,0.017595,3,15,1.555556,60.01,10.444444
NotWorthy,77,14,0,3,1,0,1,14,1.428571,71.767857,11.314286
NotWorthy,81,16,0,0,3,0.105409,1,16,1.3125,79.5575,11.4
NotWorthy,182,32,0,7,10,0.052705,6,5.333333,1.46875,77.165417,7.133333
NotWorthy,269,41,0,6,5,0.035136,2,21,1.642857,46.534286,16.971429
NotWorthy,285,55,0,6,3,0.124334,4,14,1.357143,77.810714,8.457143
NotWorthy,27,5,0,4,0,0,2,2.5,1.2,102.7775,1
NotWorthy,266,40,0,12,1,0.03253,3,13.333333,1.825,38.906667,17.333333
NotWorthy,166,32,0,4,2,0.01992,3,10.666667,1.34375,82.327083,6.766667
NotWorthy,210,39,0,7,2,0.085498,3,13,1.435897,72.163077,8.276923
NotWorthy,176,29,1,4,2,0.051299,2,14.5,1.586207,57.924397,12.696552
NotWorthy,78,14,0,4,1,0,2,7,1.357143,84.915714,5.657143
Worthy,581,87,1,16,2,0.031009,7,12.285714,1.837209,38.937093,13.751495
NotWorthy,150,27,0,7,3,0.024845,3,9.333333,1.428571,76.504524,8.019048
NotWorthy,89,17,0,4,2,0.052705,1,17,1.294118,80.097647,6.8
NotWorthy,93,20,0,5,0,0,3,6.666667,1.2,98.548333,2.666667
NotWorthy,168,19,0,13,0,0.020672,5,4.6,2.043478,29.287739,14.013913
NotWorthy,258,46,2,8,0,0.031782,4,11,1.386364,78.383636,7.127273
